,Unnamed: 0,HomeTeam,AwayTeam,HomeScore,AwayScore,Time,Ref,HomeForm,AwayForm,HomeMissingPlayers,AwayMissingPlayers,Round,GD,HomeAtt,HomeDef,HomeMid,HomeOVR,AwayAtt,AwayDef,AwayMid,AwayOVR,y,Year,Month,Day,Round_Number
0,0,Newcastle,Leicester,0,0,2023-05-22 22:00:00,Andre Marriner,10,5,6,6,Premier League Round 37 2022/2023,0,78,79,76,78,79,78,79,79,0,2023,5,22,37
1,1,Brighton,Man City,1,1,2023-05-24 22:00:00,Simon Hooper,9,13,6,5,Premier League Round 32 2022/2023,0,76,77,75,76,85,86,86,85,0,2023,5,24,32
2,2,Man United,Chelsea,4,1,2023-05-25 22:00:00,Stuart Attwell,9,4,5,8,Premier League Round 32 2022/2023,3,81,80,82,82,83,83,86,84,1,2023,5,25,32
3,3,Arsenal,Wolves,5,0,2023-05-28 18:30:00,Andre Marriner,6,7,5,2,Premier League Round 38 2022/2023,5,83,79,80,80,79,77,79,78,1,2023,5,28,38
4,4,Aston Villa,Brighton,2,1,2023-05-28 18:30:00,David Coote,7,7,2,0,Premier League Round 38 2022/2023,1,79,80,78,79,76,77,75,76,1,2023,5,28,38
5,5,Brentford,Man City,1,0,2023-05-28 18:30:00,John Brooks,12,11,1,0,Premier League Round 38 2022/2023,1,75,75,74,75,85,86,86,85,1,2023,5,28,38
6,6,Chelsea,Newcastle,1,1,2023-05-28 18:30:00,Jarred Gillett,4,8,8,9,Premier League Round 38 2022/2023,0,83,83,86,84,78,79,76,78,0,2023,5,28,38
7,7,Crystal Palace,Nottm Forest,1,1,2023-05-28 18:30:00,Thomas Bramall,7,10,5,11,Premier League Round 38 2022/2023,0,75,76,76,76,76,73,73,74,0,2023,5,28,38
8,8,Everton,Bournemouth,1,0,2023-05-28 18:30:00,Stuart Attwell,5,6,2,0,Premier League Round 38 2022/2023,1,80,77,77,77,73,73,74,74,1,2023,5,28,38
9,9,Leeds,Tottenham,1,4,2023-05-28 18:30:00,Anthony Taylor,2,4,4,6,Premier League Round 38 2022/2023,-3,78,76,76,76,84,79,81,82,-1,2023,5,28,38
10,10,Leicester,West Ham,2,1,2023-05-28 18:30:00,Simon Hooper,3,12,6,1,Premier League Round 38 2022/2023,1,79,78,79,79,79,79,80,79,1,2023,5,28,38
11,11,Man United,Fulham,2,1,2023-05-28 18:30:00,Robert Jones,9,7,6,3,Premier League Round 38 2022/2023,1,81,80,82,82,78,74,75,75,1,2023,5,28,38
12,12,Southampton,Liverpool,4,4,2023-05-28 18:30:00,Darren England,0,13,6,6,Premier League Round 38 2022/2023,0,75,75,76,76,84,85,84,85,0,2023,5,28,38
13,13,Newcastle,Brighton,4,1,2023-05-18 21:30:00,Robert Jones,10,9,6,8,Premier League Round 25 2022/2023,3,78,79,76,78,76,77,75,76,1,2023,5,18,25
14,14,Tottenham,Brentford,1,3,2023-05-20 14:30:00,Jarred Gillett,4,10,1,1,Premier League Round 37 2022/2023,-2,84,79,81,82,75,75,74,75,-1,2023,5,20,37
15,15,Bournemouth,Man United,0,1,2023-05-20 17:00:00,Chris Kavanagh,6,7,5,6,Premier League Round 37 2022/2023,-1,73,73,74,74,81,80,82,82,-1,2023,5,20,37
16,16,Fulham,Crystal Palace,2,2,2023-05-20 17:00:00,Joshua Smith,6,7,4,4,Premier League Round 37 2022/2023,0,78,74,75,75,75,76,76,76,0,2023,5,20,37
17,17,Liverpool,Aston Villa,1,1,2023-05-20 17:00:00,John Brooks,15,7,6,3,Premier League Round 37 2022/2023,0,84,85,84,85,79,80,78,79,0,2023,5,20,37
18,18,Wolves,Everton,1,1,2023-05-20 17:00:00,David Coote,6,5,2,6,Premier League Round 37 2022/2023,0,79,77,79,78,80,77,77,77,0,2023,5,20,37
19,19,Nottm Forest,Arsenal,1,0,2023-05-20 19:30:00,Anthony Taylor,7,7,9,5,Premier League Round 37 2022/2023,1,76,73,73,74,83,79,80,80,1,2023,5,20,37
20,20,West Ham,Leeds,3,1,2023-05-21 15:30:00,Peter Bankes,9,2,1,3,Premier League Round 37 2022/2023,2,79,79,80,79,78,76,76,76,1,2023,5,21,37
21,21,Brighton,Southampton,3,1,2023-05-21 16:00:00,Paul Tierney,9,1,7,5,Premier League Round 37 2022/2023,2,76,77,75,76,75,75,76,76,1,2023,5,21,37
22,22,Man City,Chelsea,1,0,2023-05-21 18:00:00,Michael Oliver,13,4,1,8,Premier League Round 37 2022/2023,1,85,86,86,85,83,83,86,84,1,2023,5,21,37
