,Unnamed: 0,HomeTeam,AwayTeam,HomeScore,AwayScore,Time,Ref,HomeForm,AwayForm,HomeMissingPlayers,AwayMissingPlayers,Round,GD,HomeAtt,HomeDef,HomeMid,HomeOVR,AwayAtt,AwayDef,AwayMid,AwayOVR,y,Year,Month,Day,Round_Number
0,0,Swansea,Southampton,0,1,2018-05-08 21:45:00,Michael Oliver,2,5,4,4,Premier League Round 31 2017/2018,-1,75,75,77,76,78,77,78,78,-1,2018,5,8,31
1,1,Chelsea,Huddersfield,1,1,2018-05-09 21:45:00,Lee Mason,15,5,5,4,Premier League Round 35 2017/2018,0,85,82,85,84,73,72,73,73,0,2018,5,9,35
2,2,Leicester,Arsenal,3,1,2018-05-09 21:45:00,Graham Scott,1,7,4,4,Premier League Round 31 2017/2018,2,79,76,79,78,86,80,82,83,1,2018,5,9,31
3,3,Man City,Brighton,3,1,2018-05-09 22:00:00,Paul Tierney,10,6,4,4,Premier League Round 31 2017/2018,2,84,81,85,83,74,73,74,74,1,2018,5,9,31
4,4,Tottenham,Newcastle,1,0,2018-05-09 22:00:00,Neil Swarbrick,4,6,4,5,Premier League Round 31 2017/2018,1,86,81,82,82,74,75,75,75,1,2018,5,9,31
5,5,West Ham,Man United,0,0,2018-05-10 21:45:00,Jon Moss,5,9,5,2,Premier League Round 31 2017/2018,0,80,78,79,79,86,81,83,83,0,2018,5,10,31
6,6,Burnley,Bournemouth,1,2,2018-05-13 17:00:00,Paul Tierney,5,4,4,4,Premier League Round 38 2017/2018,-1,74,75,75,75,76,75,74,75,-1,2018,5,13,38
7,7,Crystal Palace,West Brom,2,0,2018-05-13 17:00:00,Jonathan Moss,11,11,4,4,Premier League Round 38 2017/2018,2,81,75,76,76,80,76,75,76,1,2018,5,13,38
8,8,Huddersfield,Arsenal,0,1,2018-05-13 17:00:00,Michael Oliver,6,4,4,4,Premier League Round 38 2017/2018,-1,73,72,73,73,86,80,82,83,-1,2018,5,13,38
9,9,Liverpool,Brighton,4,0,2018-05-13 17:00:00,Kevin Friend,5,5,4,2,Premier League Round 38 2017/2018,4,83,80,82,82,74,73,74,74,1,2018,5,13,38
10,10,Man United,Watford,1,0,2018-05-13 17:00:00,Lee Mason,10,4,3,8,Premier League Round 38 2017/2018,1,86,81,83,83,77,76,76,77,1,2018,5,13,38
11,11,Newcastle,Chelsea,3,0,2018-05-13 17:00:00,Martin Atkinson,3,13,4,4,Premier League Round 38 2017/2018,3,74,75,75,75,85,82,85,84,1,2018,5,13,38
12,12,Southampton,Man City,0,1,2018-05-13 17:00:00,Andre Marriner,8,13,4,4,Premier League Round 38 2017/2018,-1,78,77,78,78,84,81,85,83,-1,2018,5,13,38
13,13,Swansea,Stoke,1,2,2018-05-13 17:00:00,Anthony Taylor,1,3,4,5,Premier League Round 38 2017/2018,-1,75,75,77,76,78,77,77,77,-1,2018,5,13,38
14,14,Tottenham,Leicester,5,4,2018-05-13 17:00:00,Craig Pawson,7,4,4,4,Premier League Round 38 2017/2018,1,86,81,82,82,79,76,79,78,1,2018,5,13,38
